Column1,Category,Medicine name,Therapeutic area,International non-proprietary name (INN) / common name,Active substance,Product number,Patient safety,Authorisation status,ATC code,Additional monitoring,Generic,Conditional approval,Exceptional circumstances,Accelerated assessment,Orphan medicine,Marketing authorisation date,Date of refusal of marketing authorisation,Marketing authorisation holder/company name,Human pharmacotherapeutic group,Date of opinion,Decision date,Revision number,Condition / indication,First published,Revision date,URL,InChI_Keys
1527,Human,Cholestagel,Hypercholesterolemia,colesevelam,['COLESEVELAM (AS HYDROCHLORIDE)'],EMEA/H/C/000512,no,Authorised,C10AC04,no,no,no,no,no,no,09/03/2004,,CHEPLAPHARM Arzneimittel GmbH,Lipid modifying agents,,16/04/2021,23,"Cholestagel co-administered with a 3-hydroxy-3-methyl-glutaryl-coenzyme-A (HMG-CoA)-reductase inhibitor (statin) is indicated as adjunctive therapy to diet to provide an additive reduction in low-density-lipoprotein-cholesterol (LDL-C) levels in adult patients with primary hypercholesterolaemia who are not adequately controlled with a statin alone.Cholestagel as monotherapy is indicated as adjunctive therapy to diet for reduction of elevated total cholesterol and LDL-C in adult patients with primary hypercholesterolaemia, in whom a statin is considered inappropriate or is not well tolerated.Cholestagel can also be used in combination with ezetimibe, with or without a statin, in adult patients with primary hypercholesterolaemia, including patients with familial hypercholesterolaemia (see section 5.1).",28/04/2017,25/05/2021,https://www.ema.europa.eu/en/medicines/human/EPAR/cholestagel,['not found']
1561,Human,Enzepi,Exocrine Pancreatic Insufficiency,pancreas powder,['PANCREAS POWDER'],EMEA/H/C/002070,no,Withdrawn,A09AA02,yes,no,no,no,no,no,29/06/2016,,Allergan Pharmaceuticals International Ltd,"Digestives, incl. enzymes",,02/09/2016,1,"Pancreatic enzyme replacement treatment in exocrine pancreatic insufficiency due to cystic fibrosis or other conditions (e.g. chronic pancreatitis, post pancreatectomy or pancreatic cancer).Enzepi is indicated in infants, children, adolescents and adults.",02/09/2016,17/02/2021,https://www.ema.europa.eu/en/medicines/human/EPAR/enzepi,['not found']
1597,Human,Aplidin,,,['BLANK'],EMEA/H/C/004354,no,,,no,no,no,no,no,yes,,,,,,,,,15/12/2017,26/11/2020,https://www.ema.europa.eu/en/medicines/human/EPAR/aplidin,['not found']
1607,Human,Vepacel,"Influenza, Human;  Immunization;  Disease Outbreaks","Prepandemic influenza vaccine (H5N1) (whole virion, inactivated,prepared in cell culture)","['INFLUENZA VIRUS (WHOLE VIRION', 'INACTIVATED)', 'CONTAINING ANTIGEN OF: A/VIETNAM/1203/2004 (H5N1)']",EMEA/H/C/002089,no,Withdrawn,J07BB01,no,no,no,no,no,no,17/02/2012,,Ology Bioservices Ireland LTD,Influenza vaccines,,11/01/2019,9,"Active immunisation against H5N1 subtype of influenza A virus., , This indication is based on immunogenicity data from subjects from the age of 6 months onwards following administration of two doses of vaccine prepared with H5N1 subtype strains., , Vepacel should be used in accordance with Official guidance., ",10/03/2017,28/10/2020,https://www.ema.europa.eu/en/medicines/human/EPAR/vepacel,"['not found', 'not found', 'not found']"
1612,Human,Actrapid,Diabetes Mellitus,human insulin (rDNA),['HUMAN INSULIN'],EMEA/H/C/000424,no,Authorised,A10AB01,no,no,no,no,no,no,07/10/2002,,Novo Nordisk A/S,Drugs used in diabetes,,24/09/2020,17,Treatment of diabetes mellitus.,14/03/2018,21/10/2020,https://www.ema.europa.eu/en/medicines/human/EPAR/actrapid,['not found']
1623,Human,Visudyne,"Myopia, Degenerative;  Macular Degeneration",verteporfin,['VERTEPORFIN'],EMEA/H/C/000305,no,Authorised,S01LA01,no,no,no,no,no,no,27/07/2000,,CHEPLAPHARM Arzneimittel GmbH,Ophthalmologicals,,02/09/2020,35,Visudyne is indicated for the treatment of:adults with exudative (wet) age-related macular degeneration (AMD) with predominantly classic subfoveal choroidal neovascularisation (CNV) or;adults with subfoveal choroidal neovascularisation secondary to pathological myopia.,26/07/2018,16/09/2020,https://www.ema.europa.eu/en/medicines/human/EPAR/visudyne,['not found']
1661,Human,Clopidogrel BGR (previously Zylagren),Peripheral Vascular Diseases;  Stroke;  Myocardial Infarction,clopidogrel,['CLOPIDOGREL (AS HYDROGEN SULFATE)'],EMEA/H/C/001138,no,Authorised,B01AC03,no,yes,no,no,no,no,21/09/2009,,Biogaran,Antithrombotic agents,,24/02/2020,17,"Prevention of atherothrombotic events Clopidogrel is indicated in:Adult patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from 7 days until less than 6 months) or established peripheral arterial disease.",19/07/2017,11/03/2020,https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-bgr-previously-zylagren,['not found']
1663,Human,Xiapex,Dupuytren Contracture,collagenase Clostridium histolyticum,['COLLAGENASE CLOSTRIDIUM HISTOLYTICUM'],EMEA/H/C/002048,no,Withdrawn,M09AB02,no,no,no,no,no,no,28/02/2011,,Swedish Orphan Biovitrum AB,Other drugs for disorders of the musculo-skeletal system,,28/11/2019,20,", 	The treatment of Dupuytren’s contracture in adult patients with a palpable cord., 	The treatment of adult men with Peyronie’s disease with a palpable plaque and curvature deformity of at least 30 degrees at the start of therapy., , ",08/12/2017,02/03/2020,https://www.ema.europa.eu/en/medicines/human/EPAR/xiapex,['not found']
1669,Human,Zalmoxis,Hematopoietic Stem Cell Transplantation;  Graft vs Host Disease,allogeneic T cells genetically modified with a retroviral vector encoding for a truncated form of the human low affinity nerve growth factor receptor (?LNGFR) and the herpes simplex I virus thymidine kinase (HSV-TK Mut2),['ALLOGENEIC T CELLS GENETICALLY MODIFIED WITH A RETROVIRAL VECTOR ENCODING FOR A TRUNCATED FORM OF THE HUMAN LOW AFFINITY NERVE GROWTH FACTOR RECEPTOR (?LNGFR) AND THE HERPES SIMPLEX I VIRUS THYMIDINE KINASE (HSV-TK MUT2)'],EMEA/H/C/002801,no,Withdrawn,L01,no,no,yes,no,no,no,18/08/2016,,MolMed SpA,Antineoplastic agents,23/06/2016,26/07/2018,1,Zalmoxis is indicated as adjunctive treatment in haploidentical haematopoietic stem cell transplantation (HSCT) of adult patients with high-risk haematological malignancies.,26/07/2018,14/02/2020,https://www.ema.europa.eu/en/medicines/human/EPAR/zalmoxis,['not found']
1670,Human,Fexeric,Hyperphosphatemia;  Renal Dialysis,ferric citrate coordination complex,['FERRIC CITRATE COORDINATION COMPLEX'],EMEA/H/C/003776,no,Withdrawn,V03AE,yes,no,no,no,no,no,23/09/2015,,Akebia Europe Limited,,,09/09/2019,2,Fexeric is indicated for the control of hyperphosphataemia in adult patients with chronic kidney disease (CKD).,12/10/2016,04/02/2020,https://www.ema.europa.eu/en/medicines/human/EPAR/fexeric,['not found']
1748,Human,Clopidogrel HCS,Peripheral Vascular Diseases;  Acute Coronary Syndrome;  Myocardial Infarction;  Stroke,clopidogrel,['CLOPIDOGREL (AS HYDROCHLORIDE)'],EMEA/H/C/002255,no,Authorised,B01AC04,no,yes,no,no,no,no,28/10/2010,,HCS bvba ,Antithrombotic agents,,03/05/2018,8,"Secondary prevention of atherothrombotic eventsClopidogrel is indicated in:Adult patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from 7 days until less than 6 months) or established peripheral arterial disease.Adult patients suffering from acute coronary syndrome:Non-ST segment elevation acute coronary syndrome (unstable angina or non-Q-wave myocardial infarction), including patients undergoing a stent placement following percutaneous coronary intervention, in combination with acetylsalicylic acid (ASA).ST segment elevation acute myocardial infarction, in combination with ASA in medically treated patients eligible for thrombolytic therapy.Prevention of atherothrombotic and thromboembolic events in atrial fibrillationIn adult patients with atrial fibrillation who have at least one risk factor for vascular events, are not suitable for treatment with Vitamin K antagonists (VKA) and who have a low bleeding risk, clopidogrel is indicated in combination with ASA for the prevention of atherothrombotic and thromboembolic events, including stroke. For further information please refer to section 5.1.",03/05/2018,01/08/2018,https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-hcs,['not found']
1755,Human,Maci,"Fractures, Cartilage",matrix-applied characterised autologous cultured chondrocytes,['AUTOLOGOUS CULTURED CHONDROCYTES'],EMEA/H/C/002522,no,Withdrawn,M09AX02,no,no,no,no,no,no,27/06/2013,26/04/2013,Vericel Denmark ApS,Other drugs for disorders of the musculo-skeletal system,,01/07/2018,4,Repair of symptomatic cartilage defects of the knee.,01/07/2018,05/07/2018,https://www.ema.europa.eu/en/medicines/human/EPAR/maci,['not found']
1785,Human,Clopidogrel Teva Pharma (previously Clopidogrel HCS),Myocardial Infarction;  Peripheral Vascular Diseases;  Stroke,clopidogrel,['CLOPIDOGREL (AS HYDROCHLORIDE)'],EMEA/H/C/001133,no,Withdrawn,B01AC04,no,yes,no,no,no,no,21/09/2009,,Teva B.V. ,Antithrombotic agents,,22/01/2016,9,"Clopidogrel is indicated in:Adult patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from 7 days until less than 6 months) or established peripheral arterial disease.Adult patients suffering from acute coronary syndrome:Non-ST segment elevation acute coronary syndrome (unstable angina or non-Q-wave myocardial infarction), including patients undergoing a stent placement following percutaneous coronary intervention, in combination with acetylsalicylic acid (ASA).ST segment elevation acute myocardial infarction, in combination with ASA in medically treated patients eligible for thrombolytic therapy.Prevention of atherothrombotic and thromboembolic events in atrial fibrillation In adult patients with atrial fibrillation who have at least one risk factor for vascular events, are not suitable for treatment with Vitamin K antagonists (VKA) and who have a low bleeding risk, clopidogrel is indicated in combination with ASA for the prevention of atherothrombotic and thromboembolic events, including stroke.",22/01/2016,24/10/2017,https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-teva-pharma-previously-clopidogrel-hcs,['not found']
1796,Human,Imprida,Hypertension,"amlodipine, valsartan","['VALSARTAN', 'AMLODIPINE (AS AMLODIPINE BESILATE)']",EMEA/H/C/000775,no,Withdrawn,C09DB01,no,no,no,no,no,no,17/01/2007,,Novartis Europharm Ltd,Agents acting on the renin-angiotensin system,,03/04/2017,20,Treatment of essential hypertension.Imprida is indicated in patients whose blood pressure is not adequately controlled on amlodipine or valsartan monotherapy.,03/04/2017,11/05/2017,https://www.ema.europa.eu/en/medicines/human/EPAR/imprida,"['ACWBQPMHZXGDFX-QFIPXVFZSA-N', 'not found']"
1816,Human,Pandemrix,"Influenza, Human;  Immunization;  Disease Outbreaks","influenza vaccine (H1N1)v (split virion, inactivated, adjuvanted)","['SPLIT INFLUENZA VIRUS INACTIVATED', 'CONTAINING ANTIGEN EQUIVALENT TO A/CALIFORNIA/07/2009 (H1N1)-DERIVED STRAIN USED NYMC X-179A']",EMEA/H/C/000832,no,Withdrawn,J07BB02,no,no,no,no,no,no,20/05/2008,,GlaxoSmithKline Biologicals S.A.,Influenza vaccines,,28/04/2016,23,Prophylaxis of influenza caused by A (H1N1)v 2009 virus. Pandemrix should only be used if the recommended annual seasonal trivalent / quadrivalent influenza vaccines are not available and if immunisation against (H1N1)v is considered necessary (see sections 4.4 and 4.8).Pandemrix should be used in accordance with Official Guidance.,28/04/2016,10/06/2016,https://www.ema.europa.eu/en/medicines/human/EPAR/pandemrix,"['not found', 'not found']"
1829,Human,Focetria,"Influenza, Human;  Immunization;  Disease Outbreaks","influenza vaccine H1N1v (surface antigen, inactivated, adjuvanted)",['INFLUENZA VIRUS SURFACE ANTIGENS (HAEMAGGLUTININ AND NEURAMINIDASE) OF STRAIN: A/CALIFORNIA/7/2009 (H1N1)-DERIVED STRAIN USED NYMC X-181'],EMEA/H/C/000710,no,Withdrawn,J07BB02,no,no,no,no,no,no,02/05/2007,07/05/2007,Novartis Vaccines and Diagnostics S.r.l.,Influenza vaccines,,15/01/2015,9,Prophylaxis of influenza caused by A (H1N1v) 2009 virus.Focetria should be used in accordance with official guidance.,15/01/2015,11/02/2016,https://www.ema.europa.eu/en/medicines/human/EPAR/focetria,['not found']
1838,Human,Clopidogrel DURA,Peripheral Vascular Diseases;  Stroke;  Myocardial Infarction,clopidogrel,['CLOPIDOGREL (AS HYDROCHLORIDE)'],EMEA/H/C/001132,no,Withdrawn,B01AC04,no,yes,no,no,no,no,21/07/2009,,Mylan dura GmbH,Antithrombotic agents,,05/05/2015,6,"Clopidogrel is indicated in adults for the prevention of atherothrombotic events in:Patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from 7 days until less than 6 months) or established peripheral arterial disease.",05/05/2015,10/07/2015,https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-dura,['not found']
1840,Human,Provenge,Prostatic Neoplasms,autologous peripheral-blood mononuclear cells activated with prostatic acid phosphatase granulocyte-macrophage colony-stimulating factor (sipuleucel-T),['AUTOLOGOUS PERIPHERAL-BLOOD MONONUCLEAR CELLS INCLUDING A MINIMUM OF 50 MILLION AUTOLOGOUS CD54+ CELLS ACTIVATED WITH PROSTATIC ACID PHOSPHATASE GRANULOCYTE-MACROPHAGE COLONY-STIMULATING FACTOR'],EMEA/H/C/002513,no,Withdrawn,L03AX17,yes,no,no,no,no,no,06/09/2013,,Dendreon UK Ltd,Other immunostimulants,,06/05/2015,1,Provenge is indicated for treatment of asymptomatic or minimally symptomatic metastatic (non-visceral) castrate-resistant prostate cancer in male adults in whom chemotherapy is not yet clinically indicated.,06/05/2015,19/05/2015,https://www.ema.europa.eu/en/medicines/human/EPAR/provenge,['not found']
1846,Human,Clopidogrel Teva Pharma B.V.,Peripheral Vascular Diseases;  Acute Coronary Syndrome;  Myocardial Infarction;  Stroke,clopidogrel,['CLOPIDOGREL (AS HYDROBROMIDE)'],EMEA/H/C/001226,no,Withdrawn,B01AC04,no,yes,no,no,no,no,16/06/2011,,Teva Pharma B.V. ,Antithrombotic agents,,21/10/2014,4,"Prevention of atherothrombotic eventsClopidogrel is indicated in:adult patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from 7 days until less than 6 months) or established peripheral arterial disease;adult patients suffering from acute coronary syndrome: non-ST segment elevation acute coronary syndrome (unstable angina or non-Q-wave myocardial infarction), including patients undergoing a stent placement following percutaneous coronary intervention, in combination with acetylsalicylic acid (ASA);ST segment elevation acute myocardial infarction, in combination with ASA in medically treated patients eligible for thrombolytic therapy.Prevention of atherothrombotic and thromboembolic events in atrial fibrillationIn adult patients with atrial fibrillation who have at least one risk factor for vascular events, are not suitable for treatment with vitamin-K antagonists (VKA) and who have a low bleeding risk, clopidogrel is indicated in combination with ASA for the prevention of atherothrombotic and thromboembolic events, including stroke.",21/10/2014,03/02/2015,https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-teva-pharma-bv,['not found']
1848,Human,Vistide,Cytomegalovirus Retinitis,cidofovir,['CIDOFOVIR'],EMEA/H/C/000121,no,Withdrawn,J05AB12,no,no,no,no,no,no,23/04/1997,,Gilead Sciences International Limited,Antivirals for systemic use,,22/08/2014,21,"Vistide is indicated for the treatment of cytomegalovirus retinitis in patients with acquired immunodeficiency syndrome (AIDS) and without renal dysfunction. Vistide should be used only when other agents are considered unsuitable., ",22/08/2014,19/01/2015,https://www.ema.europa.eu/en/medicines/human/EPAR/vistide,['not found']
1852,Human,Topotecan Eagle,Carcinoma;  Small Cell Lung Carcinoma,topotecan,['TOPOTECAN (AS HYDROCHLORIDE)'],EMEA/H/C/002261,no,Withdrawn,L01CE01,no,yes,no,no,no,no,22/12/2011,,Eagle Laboratories Ltd.   ,Antineoplastic and immunomodulating agents,,02/10/2014,2,Topotecan monotherapy is indicated for the treatment of patients with relapsed small cell lung cancer (SCLC) for whom re-treatment with the first-line regimen is not considered appropriate.Topotecan in combination with cisplatin is indicated for patients with carcinoma of the cervix recurrent after radiotherapy and for patients with Stage IVB disease. Patients with prior exposure to cisplatin require a sustained treatment free interval to justify treatment with the combination.,02/10/2014,14/11/2014,https://www.ema.europa.eu/en/medicines/human/EPAR/topotecan-eagle,['not found']
1857,Human,Clopidogrel Qualimed,Peripheral Vascular Diseases;  Stroke;  Myocardial Infarction,clopidogrel,['CLOPIDOGREL (AS HYDROCHLORIDE)'],EMEA/H/C/001135,no,Withdrawn,B01AC06,no,yes,no,no,no,no,23/09/2009,,Qualimed,Antithrombotic agents,,01/09/2014,4,"Clopidogrel is indicated in adults for the prevention of atherothrombotic events in:Patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from 7 days until less than 6 months) or established peripheral arterial disease.For further information please refer to section 5.1.",01/09/2014,08/09/2014,https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-qualimed,['not found']
1863,Human,Preotact,"Osteoporosis, Postmenopausal",parathyroid hormone (rDNA),['PARATHYROID HORMONE (RDNA)'],EMEA/H/C/000659,no,Withdrawn,H05AA03,no,no,no,no,no,no,24/04/2006,,NPS Pharma Holdings Limited,Calcium homeostasis,,16/05/2014,4,"Treatment of osteoporosis in postmenopausal women at high risk of fractures (see section 5.1).A significant reduction in the incidence of vertebral, but not hip fractures has been demonstrated.",16/05/2014,02/07/2014,https://www.ema.europa.eu/en/medicines/human/EPAR/preotact,['not found']
1869,Human,Clopidogrel Teva Generics B.V.,Peripheral Vascular Diseases;  Acute Coronary Syndrome;  Myocardial Infarction;  Stroke,clopidogrel,['CLOPIDOGREL (AS HYDROCHLORIDE)'],EMEA/H/C/002254,no,Withdrawn,B01AC04,no,yes,no,no,no,no,28/10/2010,,Teva Pharma B.V.,Antithrombotic agents,,05/11/2013,3,"Clopidogrel is indicated in adults for the prevention of atherothrombotic events in:Patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from 7 days until less than 6 months) or established peripheral arterial disease.Patients suffering from acute coronary syndrome:Non-ST segment elevation acute coronary syndrome (unstable angina or non-Q-wave myocardial infarction), including patients undergoing a stent placement following percutaneous coronary intervention, in combination with acetylsalicylic acid (ASA).ST segment elevation acute myocardial infarction, in combination with ASA in medically treated patients eligible for thrombolytic therapy.For further information please refer to section 5.1.",05/11/2013,12/05/2014,https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-teva-generics-bv,['not found']
1912,Human,Teslascan,Magnetic Resonance Imaging,mangafodipir,['MANGAFODIPIR TRISODIUM'],EMEA/H/C/000137,no,Withdrawn,V08CA05,no,no,no,no,no,no,22/05/1997,,GE Healthcare AS,Contrast media,,23/10/2009,9,This medicinal product is for diagnostic use only.Contrast medium for diagnostic magnetic resonance imaging (MRI) for the detection of lesions of the liver suspected to be due to metastatic disease or hepatocellular carcinomas. As an adjunct to MRI to aid in the investigation of focal pancreatic lesions.,23/10/2009,02/08/2012,https://www.ema.europa.eu/en/medicines/human/EPAR/teslascan,['not found']
1931,Human,Arepanrix,"Influenza, Human;  Immunization;  Disease Outbreaks","pandemic influenza vaccine (H1N1)v (split virion, inactivated, adjuvanted)","['SPLIT INFLUENZA VIRUS', 'INACTIVATED', 'CONTAINING ANTIGEN*: A/CALIFORNIA/7/2009 (H1N1)V LIKE STRAIN (X-179A)*PROPAGATED IN EGGS.']",EMEA/H/C/001201,no,Withdrawn,J07BB02,no,no,yes,no,no,no,23/03/2010,,GlaxoSmithKline Biologicals S.A.,Influenza vaccines,,13/08/2010,1,Prophylaxis of influenza in an officially declared pandemic situation. Pandemic influenza vaccine should be used in accordance with official guidance,13/08/2010,25/10/2011,https://www.ema.europa.eu/en/medicines/human/EPAR/arepanrix,"['not found', 'not found', 'not found']"
1955,Human,Clopidogrel BMS,Stroke;  Peripheral Vascular Diseases;  Myocardial Infarction;  Acute Coronary Syndrome,clopidogrel,['CLOPIDOGREL (AS HYDROGEN SULFATE)'],EMEA/H/C/000974,no,Withdrawn,B01AC04,no,no,no,no,no,no,16/07/2008,,Bristol-Myers Squibb Pharma EEIG,Antithrombotic agents,,26/10/2009,3,"Clopidogrel is indicated in adults for the prevention of atherothrombotic events in:- Patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from 7 days until less than 6 months) or established peripheral arterial disease.- Patients suffering from acute coronary syndrome:Non-ST segment elevation acute coronary syndrome (unstable angina or non-Q-wave myocardial infarction), including patients undergoing a stent placement following percutaneous coronary intervention, in combination with acetylsalicylic acid (ASA).ST segment elevation acute myocardial infarction, in combination with ASA in medically treated patients eligible for thrombolytic therapy.",26/10/2009,26/01/2010,https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-bms,['not found']
1966,Human,Tecnemab K1,Radioimmunodetection,anti-melanoma mab fragments,['ANTI-MELANOMA MAB FRAGMENTS'],EMEA/H/C/000068,no,Withdrawn,V09IA02,no,no,no,no,no,no,05/09/1996,,Amersham Sorin.S.r.l.,Diagnostic radiopharmaceuticals,,31/12/2009,0,As an adjunct to other diagnostic procedures for visualization by radioimmunoscintigraphy (RIS) of regional lymph node and distant metastases in the staging and follow-up of patients with stage I-III melanoma. Aid in differential diagnosis of suspected ocular melanoma.,31/12/2009,31/12/2009,https://www.ema.europa.eu/en/medicines/human/EPAR/tecnemab-k1,['not found']
1987,Human,Forcaltonin,Hypercalcemia;  Osteitis Deformans;  Bone Resorption,recombinant salmon calcitonin,['RECOMBINANT SALMON CALCITONIN'],EMEA/H/C/000197,no,Withdrawn,H05BA01,no,no,no,no,no,no,11/01/1999,,Unigene UK Ltd.,Calcium homeostasis,,20/11/2008,0,Calcitonin is indicated for:Prevention of acute bone loss due to sudden immobilisation such as in patients with recentosteoporotic fracturesPaget's diseaseHypercalcaemia of malignancy,20/11/2008,20/11/2008,https://www.ema.europa.eu/en/medicines/human/EPAR/forcaltonin,['not found']
2040,Human,Pylori-Chek,Breath Tests;  Helicobacter Infections,13C-urea,['UREA (13C)'],EMEA/H/C/000182,no,Withdrawn,V04CX,no,no,no,no,no,no,15/06/1998,,Alimenterics B.V.,Diagnostic agents,,05/07/2000,0,Pylori-Chek may be used for in vivo diagnosis of gastroduodenal Helicobacter pylori infection.,05/07/2000,17/07/2000,https://www.ema.europa.eu/en/medicines/human/EPAR/pylori-chek,['not found']
