table_name,Column Name,Data Type,Non-Null Count,Unique Values,Sample Values,Description
drug_products.csv,product_id,int64,1229,1229,"1, 2, 3",Product identifier
drug_products.csv,product_name,object,1229,1062,"Ryeqo, Teriflunomide Mylan, Corbilta (previously Levodopa/Carbidopa/Entacapone Sandoz)",Product name
drug_products.csv,ema_number,object,1229,1063,"EMEA/H/C/005267, EMEA/H/C/005962, EMEA/H/C/002785",European medicines agency number
drug_products.csv,patient_safety,bool,1229,2,"False, True",Patient safety warning
drug_products.csv,authorisation_status,object,1229,2,"Authorised, Withdrawn",Authorisation status
drug_products.csv,atc_code,object,1219,554,"H01CC54, L04AA31, N04BA03",Anatomical therapeutic chemical classification system full code
drug_products.csv,additional,bool,1229,2,"True, False",Subject to additional monitoring
drug_products.csv,generic,bool,1229,2,"False, True",Generic medicinal product
drug_products.csv,conditional,bool,1229,2,"False, True",Conditionally approved
drug_products.csv,exceptional,bool,1229,2,"False, True",Exceptional circumstances
drug_products.csv,accelerated,bool,1229,2,"False, True",Approved via the accelerated route
drug_products.csv,orphan,bool,1229,2,"False, True",Orphan medicinal product
drug_products.csv,authorisation_date,object,1228,694,"16/07/2021, 09/11/2022, 11/11/2013",Date authorised
drug_products.csv,authorisation_holder,object,1228,359,"Gedeon Richter Plc., Mylan Pharmaceuticals Limited, Orion Corporation",Marketing authorisation holder
drug_products.csv,therapeutic_group,object,1219,159,"Pituitary and hypothalamic hormones and analogues, Immunosuppressants, Anti-Parkinson drugs",Human pharmacotherapeutic group
drug_products.csv,indication,object,1229,1007,"Ryeqo is indicated in adult women of reproductive age for:- treatment of moderate to severe symptoms of uterine fibroids,- symptomatic treatment of endometriosis in women with a history of previous medical or surgical treatment for their endometriosis., Teriflunomide Mylan is indicated for the treatment of adult patients and paediatric patients aged 10 years and older (body weight > 40 kg) with relapsing remitting multiple sclerosis (MS) (please refer to section 5.1 of the SmPC for important information on the population for which efficacy has been established). , Corbilta is indicated for the treatment of adult patients with Parkinson’s disease and end-of-dose motor fluctuations not stabilised on levodopa/dopa decarboxylase (DDC) inhibitor treatment.",Indication
drug_products.csv,url,object,1229,1063,"https://www.ema.europa.eu/en/medicines/human/EPAR/ryeqo, https://www.ema.europa.eu/en/medicines/human/EPAR/teriflunomide-mylan, https://www.ema.europa.eu/en/medicines/human/EPAR/corbilta",Uniform resource locator to product's page on EMA website
drug_products.csv,dosage_form,object,1229,81,"Tablet, Hard Capsule, Prolonged-Release Suspension for Injection",Pharmaceutical form
drug_products.csv,route,object,1229,23,"Oral, Intramuscular, Inhalation",Route of administration
parent_drugs.csv,parent_drug_id,int64,550,550,"1, 2, 3",Parent drug identifier
parent_drugs.csv,p_smiles,object,550,550,"CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)C)c(=O)n(-c2ccc(OC)nn2)c(=O)n3Cc2c(F)cccc2F)cc1, C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O, C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C",Canonical isomeric SMILES string of the parent drug
parent_drugs.csv,p_inchi,object,550,550,"InChI=1S/C29H27F2N7O5S/c1-36(2)14-19-24-26(39)38(22-12-13-23(42-3)34-33-22)29(41)37(15-18-20(30)6-5-7-21(18)31)27(24)44-25(19)16-8-10-17(11-9-16)32-28(40)35-43-4/h5-13H,14-15H2,1-4H3,(H2,32,35,40), InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17+,18+/m1/s1, InChI=1S/C22H28O3/c1-4-22(25-14(2)23)12-10-20-19-7-5-15-13-16(24)6-8-17(15)18(19)9-11-21(20,22)3/h1,13,17-20H,5-12H2,2-3H3/t17-,18+,19+,20-,21-,22-/m0/s1",InChI string of the parent drug
parent_drugs.csv,p_chembl_id,object,547,547,"CHEMBL1800159, CHEMBL135, CHEMBL1201146","ChEMBL identifier of the parent drug. ChEMBL ID in most cases matched based on EMA SMS InCHIKey which may have subtle differences to ChEMBL InChIKey, resulting in mismatch."
parent_drugs.csv,p_inchikey,object,550,550,"AOMXMOCNKJTRQP-UHFFFAOYSA-N, VOXZDWNPVJITMN-ZBRFXRBCSA-N, IMONTRJLAWHYGT-ZCPXKWAGSA-N",InChIKey of the parent drug
parent_drugs.csv,vdss,float64,189,128,"1.2, 0.16, 1.7",Volume of distribution at steady state in litres per kilogram
parent_drugs.csv,clearance,float64,196,150,"30.0, 0.007, 23.0",Clearance in plasma in millilitres per minute
parent_drugs.csv,fraction_unbound,float64,178,85,"0.016, 0.01, 0.76","Fraction unbound in plasma, in the range 0-1"
parent_drugs.csv,mrt,float64,187,131,"0.7, 367.0, 1.2",Mean residence time in hours
parent_drugs.csv,terminal_half_life,float64,190,134,"1.7, 350.0, 1.3",Terminal half-life in hours
formulated_drugs.csv,product_id,int64,1462,1229,"1, 2, 3",Product identifier
formulated_drugs.csv,drug_substance,object,1462,588,"RELUGOLIX, ESTRADIOL HEMIHYDRATE, NORETHISTERONE ACETATE","The form of the drug which appears in the dosage form, including any solvent, counterion, coformer, etc."
formulated_drugs.csv,actives_by_dose,object,1462,587,"RELUGOLIX,  ESTRADIOL,  NORETHISTERONE ACETATE",The form of the drug which the dose quoted on the product label refers to
formulated_drugs.csv,notes,object,327,150,"Tmax refers to norethisterone, Values refer to fesoterodine active metabolite, Film-coated tablets 36% greater bioavailability than dispersible tablets which are 70% bioavailable. No tmax for film coated tablets. Very large variability between formulations and therefore was decided not to include in modelling. ",Notes used in the curation of route-dependent pharmacokinetic parameters
formulated_drugs.csv,fa,float64,366,33,"1.0, 0.95, 0.0",Human oral fraction absorbed
formulated_drugs.csv,f,float64,639,102,"0.116, 1.0, 0.24",Human oral bioavailability
formulated_drugs.csv,tmax,float64,918,52,"2.0, 7.0, 1.01",Human oral time to maximum plasma concentration
formulated_drugs.csv,dose_value,float64,1462,199,"40.0, 1.0, 0.5",Dose in numeric form
formulated_drugs.csv,dose_unit,object,1462,8,"MG, MG PER G, MG PER ML",Dose units
formulated_drugs.csv,pss_inchikey,object,1462,588,"AOMXMOCNKJTRQP-UHFFFAOYSA-N, ZVVGLAMWAQMPDR-WVEWYJOQSA-N, IMONTRJLAWHYGT-ZCPXKWAGSA-N",InChIKey of the drug substance as it appears in the formulation
formulated_drugs.csv,pss_inchi,object,1462,588,"InChI=1S/C29H27F2N7O5S/c1-36(2)14-19-24-26(39)38(22-12-13-23(42-3)34-33-22)29(41)37(15-18-20(30)6-5-7-21(18)31)27(24)44-25(19)16-8-10-17(11-9-16)32-28(40)35-43-4/h5-13H,14-15H2,1-4H3,(H2,32,35,40), InChI=1S/2C18H24O2.H2O/c2*1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20;/h2*3,5,10,14-17,19-20H,2,4,6-9H2,1H3;1H2/t2*14-,15-,16+,17+,18+;/m11./s1, InChI=1S/C22H28O3/c1-4-22(25-14(2)23)12-10-20-19-7-5-15-13-16(24)6-8-17(15)18(19)9-11-21(20,22)3/h1,13,17-20H,5-12H2,2-3H3/t17-,18+,19+,20-,21-,22-/m0/s1",InChIString of the drug substance as it appears in the formulation
formulated_drugs.csv,pss_smiles,object,1462,588,"CN(C)CC1=C(SC2=C1C(=O)N(C(=O)N2CC3=C(C=CC=C3F)F)C4=NN=C(C=C4)OC)C5=CC=C(C=C5)NC(=O)NOC, C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O.O, CC(=O)O[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)C#C",Canonical isomeric SMILES string of the drug substance as it appears in the formulation
formulated_drugs.csv,ps_smiles,object,1462,582,"CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)C)c(=O)n(-c2ccc(OC)nn2)c(=O)n3Cc2c(F)cccc2F)cc1, C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O, C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C",Canonical isomeric SMILES of the drug substance with solvent moieties removed and then all components divided by a greatest common denominator if necessary
formulated_drugs.csv,ps_num_drugs,int64,1462,3,"1, 2, 3",Parent drug identifier
formulated_drugs.csv,parent_drug_id,int64,1462,550,"1, 2, 3","Number of molecules of the parent drug present in the ps_smiles, as determined by a custom function"
formulations.csv,product_id,int64,9955,1229,"1, 2, 3",Product identifier
formulations.csv,excipient_id,int32,9955,371,"1, 2, 3",Excipient identifier
excipients.csv,excipient_name,object,370,370,"TITANIUM DIOXIDE, MANNITOL, LACTOSE MONOHYDRATE",Excipient Name
excipients.csv,excipient_id,int64,370,370,"1, 2, 3",Excipient identifer
excipients.csv,excipient_inchi,object,233,224,"InChI=1S/2O.Ti, InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4-,5-,6-/m1/s1, InChI=1S/C12H22O11.H2O/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17;/h3-20H,1-2H2;1H2/t3-,4-,5+,6+,7-,8-,9-,10-,11+,12+;/m1./s1",Excipient InChI String
excipients.csv,excipient_inchikey,object,233,224,"GWEVSGVZZGPLCZ-UHFFFAOYSA-N, FBPFZTCFMRRESA-KVTDHHQDSA-N, WSVLPVUVIUVCRA-KPKNDVKVSA-N",Excipient InChiKey
excipients.csv,excipient_chembl_id,object,165,161,"CHEMBL689, CHEMBL2106633, CHEMBL1489254",Excipient ChEMBL ID
excipients.csv,excipient_pchem_cid,float64,131,127,"26042.0, 6251.0, 104938.0",Excipient PubChem Compound ID
